College,Id,Total Offense,Rushing Offense,Passing Offense,Team Passing Efficiency,Scoring Offense,Total Defense,Rushing Defense,Passing Yards Allowed,Team Passing Efficiency Defense,Scoring Defense,Turnover Margin,3rd Down Conversion Pct,4th Down Conversion Pct,3rd Down Conversion Pct Defense,4th Down Conversion Pct Defense,Red Zone Offense,Red Zone Defense,Net Punting,Punt Returns,Kickoff Returns,First Downs Offense,First Downs Defense,Fewest Penalties Per Game,Fewest Penalty Yards Per Game,Time of Possession
Air Force,557151,366.5,281.5,85.0,151.35,27.8,277.7,90.8,186.8,131.27,18.2,-0.23,0.462,0.654,0.354,0.545,0.830,0.862,39.15,2.88,18.40,256,191,3.00,24.77,33:18
Akron,557183,278.6,81.0,197.6,108.27,16.2,335.0,147.8,187.2,127.76,28.0,-0.75,0.335,0.348,0.367,0.522,0.793,0.923,36.22,5.81,17.56,200,215,6.92,60.08,29:33
Alabama,557184,393.1,172.6,220.4,163.42,34.0,316.0,124.9,191.1,121.50,19.0,0.57,0.451,0.714,0.330,0.407,0.923,0.829,42.71,8.70,22.21,280,228,5.57,46.79,30:44
Appalachian State,557186,445.6,172.0,273.6,151.25,33.2,378.7,178.4,200.3,121.57,26.6,0.21,0.420,0.621,0.402,0.400,0.864,0.824,37.48,18.50,22.37,333,279,4.50,41.57,30:35
Arizona,557190,448.0,139.7,308.3,164.97,34.6,357.9,118.2,239.7,127.31,21.1,0.38,0.488,0.667,0.415,0.300,0.930,0.760,35.41,6.00,13.83,301,255,6.31,53.00,30:35
Arizona State,557188,322.2,111.9,210.3,103.05,17.8,396.8,133.5,263.3,147.69,31.8,-0.92,0.318,0.474,0.410,0.571,0.906,0.815,36.06,10.00,22.90,225,250,5.67,51.42,30:17
Arkansas,557194,326.5,139.0,187.5,140.12,26.6,357.2,154.4,202.8,140.97,27.9,-0.08,0.383,0.625,0.373,0.500,0.919,0.894,40.08,12.00,21.74,208,226,6.33,55.42,30:44
Arkansas State,557192,373.6,147.6,226.0,133.21,27.1,443.6,184.2,259.4,149.83,30.4,0.23,0.355,0.350,0.409,0.760,0.756,0.807,38.66,10.06,25.37,257,288,6.15,60.92,26:17
Army,557152,310.8,208.0,102.8,114.49,20.5,364.2,176.2,187.9,133.62,21.1,-0.25,0.378,0.588,0.401,0.440,0.788,0.765,34.75,16.14,18.58,194,221,4.00,36.67,32:22
Auburn,557196,351.2,189.0,162.2,126.04,26.2,357.2,155.0,202.2,131.32,22.6,-0.15,0.329,0.500,0.317,0.556,0.833,0.795,41.41,10.00,21.45,241,223,5.46,43.85,29:09
Ball State,557198,308.1,171.5,136.6,108.35,18.2,315.8,111.6,204.2,130.81,24.4,-0.42,0.377,0.556,0.347,0.600,0.838,0.821,36.36,1.07,17.38,217,216,5.17,45.17,31:51
Baylor,557199,377.8,114.8,263.0,127.51,23.1,421.3,184.9,236.4,155.46,33.3,0.08,0.362,0.458,0.441,0.500,0.745,0.800,37.43,15.46,23.71,238,241,4.08,28.92,31:42
Boise State,557201,436.1,214.9,221.3,138.77,32.1,385.1,134.8,250.4,136.76,25.1,-0.21,0.459,0.818,0.387,0.417,0.887,0.812,42.82,3.38,19.31,302,259,3.71,32.00,31:14
Boston College,557203,381.2,198.8,182.5,117.66,24.8,385.1,187.9,197.2,136.52,28.3,-0.15,0.414,0.763,0.416,0.722,0.857,0.930,36.45,9.33,14.40,280,247,6.54,55.15,31:11
Bowling Green,557204,325.9,137.5,188.4,125.09,26.2,326.1,146.2,179.8,127.56,24.0,0.69,0.333,0.600,0.383,0.484,0.872,0.842,35.73,7.53,20.09,217,246,6.92,60.92,30:27
Buffalo,557207,318.8,133.6,185.2,107.32,20.9,367.1,179.9,187.2,132.44,27.4,0.08,0.344,0.366,0.335,0.611,0.711,0.905,39.28,4.55,15.86,208,215,4.83,41.58,30:15
BYU,557206,309.8,104.3,205.4,117.46,23.1,417.7,177.7,240.0,130.69,29.8,0.08,0.285,0.500,0.451,0.364,0.811,0.826,41.85,4.00,20.40,201,260,5.33,43.00,28:19
